Category,Name,Breast,CNS,LargeInt,Endometrium,Oesophagus,Liver,Ovary,Lung,Skin,Pancreas,UpAero,UrTract,Stomach
Biosynthesis,Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate),0,0,0,0,0,0,0,-0.71478,0,0,0,0,0
Degradation,Isoleucine Degradation I,0,0,0,0,0,0,0,-0.62165,0.64664,0,0,0,0
Biosynthesis,Cholesterol Biosynthesis I,0,0,0,0,0,0,0,-0.6846,0,0,0,0,0
Biosynthesis,"Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)",0,0,0,0,0,0,0,-0.6846,0,0,0,0,0
Biosynthesis,Cholesterol Biosynthesis III (via Desmosterol),0,0,0,0,0,0,0,-0.6846,0,0,0,0,0
Biosynthesis,Acetyl-CoA Biosynthesis III (from Citrate),0,0,0,0,0,0,0,-0.99951,0,0,0,0,0
Biosynthesis,Phosphatidylethanolamine Biosynthesis II,0,0,0,0,0,0,0,0,0.84251,0,0,0,0
Degradation,2-oxobutanoate Degradation I,0,0,0,0,0,0,0,0,0.88848,0,0,0,0
Degradation,Valine Degradation I,0,0,0,0,0,0,0,0,0.62087,0,0,0,0
Biosynthesis,Phosphatidylcholine Biosynthesis I,0,0,0,0,0,0,0,0,0.83598,0,0,0,0
Cell Death,autophagy,0,0,0,0,0,0,0,0,0.47401,0,0,0,0
Immune Related,Activation of IRF by Cytosolic Pattern Recognition Receptors,0,0,0,0,0,0,0,0,-0.48676,0,0,0,0
Cell Signaling,RAR Activation,0,0,0,0,0,0,0,0,-0.30648,0,0,0,0
Immune Related,Role of IL-17A in Arthritis,0,0,0,0,0,0,0,0,-0.45777,0,0,-0.39073,0
Immune Related,Role of IL-17F in Allergic Inflammatory Airway Diseases,0,0,0,0,0,0,0,0,-0.46736,0,0,-0.4843,0
Immune Related,Role of PKR in Interferon Induction and Antiviral Response,0,0,0,0,0,0,0,0,-0.54385,0,0,0,0
Immune Related,Role of RIG1-like Receptors in Antiviral Innate Immunity,0,0,0,0,0,0,0,0,-0.54541,0,0,0,0
Cell Junctions and Interactions,Tight Junction Signaling,0,0,0,0,0,0,0,0,-0.31795,0,0,0,0
Stem Cells,Hematopoiesis from Pluripotent Stem Cells,0,0,0,0,0,0,0,0,0,-0.52145,0,0,0
Metabolism,TR/RXR Activation,0,0,0,0,0,0,0,0,0,0,0.43478,0,0
Immune Related,Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F,0,0,0,0,0,0,0,0,0,0,-0.6507,0,0
Immune Related,MIF-mediated Glucocorticoid Regulation,0,0,0,0,0,0,0,0,0,0,-0.49744,0,0
Other,Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza,0,0,0,0,0,0,0,0,0,0,-0.67407,0,0
Inflammation,Eicosanoid Signaling,0,0,0,0,0,0,0,0,0,0,0,0.5005,0
Metabolism,Phospholipases,0,0,0,0,0,0,0,0,0,0,0,0.56504,0
Cellular Stress,Antioxidant Action of Vitamin C,0,0,0,0,0,0,0,0,0,0,0,0.36855,0
Degradation,Lactose Degradation III,0,0,0,0,0,0,0,0,0,0,0,0.8738,0
Cellular Functions,14-3-3-mediated Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.32492,0
Cancer Specific Pathways,Acute Myeloid Leukemia Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.37813,0
Immune Related,B Cell Receptor Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.31149,0
Cancer Specific Pathways,Breast Cancer Regulation by Stathmin1,0,0,0,0,0,0,0,0,0,0,0,-0.27264,0
Immune Related,CD27 Signaling in Lymphocytes,0,0,0,0,0,0,0,0,0,0,0,-0.43546,0
Immune Related,CD28 Signaling in T Helper Cells,0,0,0,0,0,0,0,0,0,0,0,-0.35135,0
Cell Signaling,GNRH Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.30824,0
Cell Signaling,Huntington's Disease Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.30284,0
Immune Related,IL-15 Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.3688,0
Immune Related,IL-3 Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.34835,0
Immune Related,LPS-stimulated MAPK Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.36349,0
Cell Death,Myc Mediated Apoptosis Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.37913,0
Cell Signaling,NGF Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.33862,0
Other,Neuroprotective Role of THOP1 in Alzheimer's Disease,0,0,0,0,0,0,0,0,0,0,0,-0.47655,0
Cell Signaling,PTEN Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.35503,0
Immune Related,Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes,0,0,0,0,0,0,0,0,0,0,0,-0.34244,0
Cellular Stress,SAPK/JNK Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.35881,0
Cell Signaling,TGF-Åê___ Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.35592,0
Cancer Specific Pathways,Thyroid Cancer Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.47704,0
Cellular Functions,VEGF Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.34265,0
Cell Junctions and Interactions,Neuregulin Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.32517,0
Cell Signaling,ERK5 Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.38014,0
Cell Junctions and Interactions,Rac Signaling,0,0,0,0,0,0,0,0,0,0,0,-0.38816,0
DNA Replication,Guanine and Guanosine Salvage I,0,0,0,0,0,0,0,0,0,0,0,-0.99287,0
