Drugs	Targets	Class	PossibleGDSC1000Class		
selumetinib:BRD-A02303741 (4:1 mol/mol)	MAP2K1;MAP2K2;DOT1L	inhibitor of MEK1 and MEK2;inhibitor of histone methyltransferases	ERK MAPK signaling:chromain  histone methylation		
tretinoin:navitoclax (4:1 mol/mol)	RARA;RARB;RARG;BCL2;BCL2L1;BCL2L2	agonist of retinoid acid receptors;inhibitor of BCL2  BCL-xL  and BCL-W	other:apoptosis regulation		
decitabine:navitoclax (2:1 mol/mol)	DNMT1;BCL2;BCL2L1;BCL2L2	inhibitor of DNA methyltransferase;inhibitor of BCL2  BCL-xL  and BCL-W	chromatin  histone methylation:apoptosis regulation		
tretinoin:carboplatin (2:1 mol/mol)	RARA;RARB;RARG	agonist of retinoid acid receptors;inducer of DNA damage	other:DNA replication		
necrostatin-7		inhibitor of necroptosis	other		
"Ethyl 4-{(4Z)-4-[(5-nitro-2-furyl)methylene]-3,5-dioxo-1-pyrazolidinyl}benzoate"	UBA1	inhibitor of ubiquitin-activating enzyme in cells	other		
I-BET151	BRD2;BRD3;BRD4	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins	chromatin  other		
lomeguatrib	MGMT	inhibitor of methylguanine-DNA methyltransferase	Genome integrity		
tanespimycin:gemcitabine (1:1 mol/mol)	HSP90AA1;CMPK1;RRM1;TYMS	inhibitor of HSP90;inhibitor of DNA replication; inhibitor of ribonucleotide reductase	 thymidylate synthetase	 and cytidine monophosphate (UMP-CMP) kinase 	DNA replication
docetaxel:tanespimycin (2:1 mol/mol)	HSP90AA1	inhibitor of microtubule assembly;inhibitor of HSP90	cytoskeleton:other		
selumetinib:MK-2206 (8:1 mol/mol)	MAP2K1;MAP2K2;AKT1	inhibitor of MEK1 and MEK2;inhibitor of AKT1	ERK MAPK signaling:PI3K signaling		
navitoclax:PLX-4032 (1:1 mol/mol)	BCL2;BCL2L1;BCL2L2;BRAF	inhibitor of BCL2  BCL-xL  and BCL-W;inhibitor of BRAF	apoptosis regulation:ERK MAPK signaling		
selumetinib:piperlongumine (8:1 mol/mol)	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2;natural product; modulator of ROS levels	ERK MAPK signaling:other		
tanespimycin:bortezomib (250:1 mol/mol)	HSP90AA1;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of HSP90;inhibitor of 26S proteasome	other:other		
navitoclax:MST-312 (1:1 mol/mol)	BCL2;BCL2L1;BCL2L2;TERT	inhibitor of BCL2  BCL-xL  and BCL-W;inhibitor of telomerase reverse transcriptase	apoptosis regulation:Genome integrity		
carboplatin:etoposide (40:17 mol/mol)	TOP2A	inducer of DNA damage;inhibitor of topoisomerase II	DNA replication:DNA replication		
piperlongumine:MST-312 (1:1 mol/mol)	TERT	natural product; modulator of ROS levels;inhibitor of telomerase reverse transcriptase	other:Genome integrity		
navitoclax:gemcitabine (1:1 mol/mol)	BCL2;BCL2L1;BCL2L2;CMPK1;RRM1;TYMS	inhibitor of BCL2  BCL-xL  and BCL-W;inhibitor of DNA replication; inhibitor of ribonucleotide reductase  thymidylate synthetase  and cytidine monophosphate (UMP-CMP) kinase 	DNA replication		
JW-480	NCEH1	inhibitor of serine hydrolase enzyme NCEH	other		
BMS-195614	RARA;RARB;RARG	antagonist of retinoic acid receptors	other		
BRD-K07442505	BAX	stapled helical peptide activating BAX	apoptosis regulation		
BRD-K35604418	MCL1	inhibitor of MCL1	other		
SB-743921	KIF11	inhibitor of kinesin 11	other		
GSK525762A	BRD2;BRD3;BRD4	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins	chromatin  other		
navitoclax:pluripotin (1:1 mol/mol)	BCL2;BCL2L1;BCL2L2;MAPK1;RASAL1	inhibitor of BCL2  BCL-xL  and BCL-W;promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK	apoptosis regulation		
JQ-1:carboplatin (1:1 mol/mol)	BRDT	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inducer of DNA damage	chromatin other:DNA replication		
selumetinib:navitoclax (8:1 mol/mol)	MAP2K1;MAP2K2;BCL2;BCL2L1;BCL2L2	inhibitor of MEK1 and MEK2;inhibitor of BCL2  BCL-xL  and BCL-W	ERK MAPK signaling:apoptosis regulation		
selumetinib:decitabine (4:1 mol/mol)	MAP2K1;MAP2K2;DNMT1	inhibitor of MEK1 and MEK2;inhibitor of DNA methyltransferase	ERK MAPK signaling:chromatin  histone methylation		
SNX-2112:bortezomib (250:1 mol/mol)	HSP90AA1;HSP90B1;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of HSP90alpha and HSP90beta;inhibitor of 26S proteasome	other:other		
JQ-1:MK-0752 (1:1 mol/mol)	BRDT;APH1A;NCSTN;PSEN1;PSENEN	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of gamma-secretase	chromatin other:other		
BRD-A02303741:navitoclax (2:1 mol/mol)	DOT1L;BCL2;BCL2L1;BCL2L2	inhibitor of histone methyltransferases;inhibitor of BCL2  BCL-xL  and BCL-W	chromatin other:apoptosis regulation		
salermide:PLX-4032 (12:1 mol/mol)	SIRT1;SIRT2;BRAF	inhibitor of sirtuin 1 and sirtuin 2;inhibitor of BRAF	other:ERK MAPK signaling		
UNC0638:navitoclax (1:1 mol/mol)	EHMT1;EHMT2;BCL2;BCL2L1;BCL2L2	inhibitor of EHMT2 and GLP methyltransferase;inhibitor of BCL2  BCL-xL  and BCL-W	chromatin  histone methylation:apoptosis regulation		
BRD-A02303741:carboplatin (1:1 mol/mol)	DOT1L	inhibitor of histone methyltransferases;inducer of DNA damage	chromatin  histone methylation:DNA repiication		
doxorubicin:navitoclax (2:1 mol/mol)	TOP2A;BCL2;BCL2L1;BCL2L2	inhibitor of topoisomerase II;inhibitor of BCL2  BCL-xL  and BCL-W	DNA replication:apoptosis regulation		
selumetinib:UNC0638 (4:1 mol/mol)	MAP2K1;MAP2K2;EHMT1;EHMT2	inhibitor of MEK1 and MEK2;inhibitor of EHMT2 and GLP methyltransferase	ERK MAPK signaling:chromain  histone methylation		
alisertib:navitoclax (2:1 mol/mol)	AURKA;AURKB;BCL2;BCL2L1;BCL2L2	inhibitor of aurora kinases A and B;inhibitor of BCL2  BCL-xL  and BCL-W	mitosis:apoptosis regulation		
navitoclax:sorafenib (1:1 mol/mol)	BCL2;BCL2L1;BCL2L2;BRAF;FLT3;KDR;RAF1	inhibitor of BCL2  BCL-xL  and BCL-W;inhibitor of BRAF  CRAF  and VEGFR2 inhibitor of BCL2  BCL-xL  and BCL-W;inhibitor of BRAF  CRAF  and VEGFR2    inhibitor of BCL2  BCL-xL  and BCL-W;inhibitor of BRAF  CRAF  and VEGFR2    inhibitor of BCL2  BCL-xL  and BCL-W;inhibitor of BRAF  CRAF  and VEGFR2   	apoptosis regulation:RTK signaling		
navitoclax:piperlongumine (1:1 mol/mol)	BCL2;BCL2L1;BCL2L2	inhibitor of BCL2  BCL-xL  and BCL-W;natural product; modulator of ROS levels	apoptosis regulation:other		
SMER-3	CUL1;SKP1	inhibitor of E3-ubiquitin ligase	other		
NVP-ADW742	IGF1R	inhibitor of insulin-like growth factor 1 receptor	IGFR signaling		
clofarabine		inducer of DNA damage	DNA replication		
vorinostat:navitoclax (4:1 mol/mol)	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8;BCL2;BCL2L1;BCL2L2	inhibitor of HDAC1  HDAC2  HDAC3  HDAC6  and HDAC8;inhibitor of BCL2  BCL-xL  and BCL-W	chromain  histone acetylation		
XL765	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC	inhibitor of mTOR and PI3K kinase acitivities	TOR signaling		
ML258	BCL2L10	inhibitor of BIM-BCL-B interaction	apoptosis regulation		
SR1001	RORA;RORC	synthetic ROR ligand; suppressor of TH17 differentiation	other		
"Oleana-1,9(11)-dien-28-oic acid, 2-cyano-3,12-dioxo-, methyl ester"		electrophilic inducer of the NFE2L2-KEAP1 pathway	other		
BMS-270394	RARG	antagonist of retinoic acid receptor gamma	other		
fluvastatin	HMGCR	inhibitor of HMG-CoA reductase	metabolism		
AZD4547	FGFR1;FGFR2;FGFR3	inhibitor of fibroblast growth factor receptors	RTK signaling		
hyperforin	TRPC6	agonist of calcium-permeable ion channels	other		
NVP-231	CERK	inhibitor of ceramide kinase	other		
MK-0752	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	other		
semagacestat	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	other		
Bosutinib	ABL1;SRC	inhibitor of SRC and ABL1	ABL signaling		
temsirolimus	MTOR	inhibitor of mTOR	TOR signaling		
"9H-Purin-2-amine, 9-beta-D-arabinofuranosyl-6-methoxy-"	POLA1	deoxyguanosine analog; inhibitor of DNA synthesis	DNA replication		
rigosertib	PIK3CA;PIK3CB;PLK1	inhibitor of polo-like kinase 1; inhibitor of PI3K catalytic subunits alpha and beta	mitosis		
PD318088	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	ERK MAPK signaling		
KU-60019	ATM	inhibitor of ataxia telangiectasia mutated (ATM)	Genome integrity		
BIRB 0796	MAPK11;MAPK11;MAPK14	inhibitor of p38 MAPK	JNK and p38 signaling		
KW-2449	AURKA;FLT3	inhibitor of FLT3 and AURKA	mitosis		
RAF265	BRAF;KDR	ihibitor of VEGFR2 and BRAF	ERK MAPK signaling		
silmitasertib	CSNK2A1;CSNK2A2	inhibitor of casein kinase 2	other		
BRD-K03911514		stapled helical peptide	other		
BRD-K16130065		stapled helical peptide	other		
momelotinib	JAK1;JAK2	inhibitor of Janus kinases 1 and 2	RTK signaling		
CAL-101	PIK3CD	inhibitor of PI3K catalytic subunit delta	PI3K signaling		
LY-2157299	TGFBR1	inhibitor of the transforming growth factor beta type 1 receptor	other		
WP1130	UCHL5;USP14;USP5;USP9X	inhibitor of the deubiquitinase activity of USP9X USP5 USP14 and UCH37	other		
OSI-027	MTOR	inhibitor of mTORC1 and mTORC2	TOR signaling		
NVP-BSK805	JAK2	inhibitor of Janus kinase 2	RTK signaling		
erlotinib:PLX-4032 (2:1 mol/mol)	EGFR;ERBB2;BRAF	inhibitor of EGFR and HER2;inhibitor of BRAF	EGFR signaling:ERK MAPK signaling		
PIK-93	PIK3CG	inhibitor of PI3K catalytic subunit gamma	PI3K signaling		
AZD7762	CHEK1;CHEK2	inhibitor of checkpoint kinases 1 and 2	cell cycle		
birinapant	DIABLO;XIAP	SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)	apoptosis regulation		
KX2-391	SRC	peptide mimetic; inhibitor of SRC activity in cells	RTK signaling		
3-Cl-AHPC	NR0B2	binder of nuclear receptor SHP	other		
BRD-K58730230		stapled helical peptide	other		
BRD-K27188169		stapled helical peptide	other		
KHS101	TACC3	binder of TACC3 a component of the centrosome and mitotic spindle	mitosis		
WAY-362450	NR1H4	agonist of farnesoid X receptor	other		
JQ-1:vorinostat (2:1 mol/mol)	BRDT;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of HDAC1 HDAC2 HDAC3 HDAC6 and HDAC8	chromatin  histone methylation:chromain  histone acetylation		
BRD-K13185470	MCL1	stapled helical peptide targeting MCL1	other		
crizotinib:PLX-4032 (2:1 mol/mol)	ALK;MET;BRAF	inhibitor of c-MET and ALK;inhibitor of BRAF	RTK signaling:ERK MAPK signaling		
BRD-K27188169:navitoclax (2:1 mol/mol)	BCL2;BCL2L1;BCL2L2	stapled helical peptide;inhibitor of BCL2  BCL-xL  and BCL-W	apoptosis regulation		
BRD-K03536150	BAX	activator of BAX	apoptosis regulation		
BRD-K34222889		analog of the natural product piperlongumine	other		
OSI-906	IGF1R;INSR	inhibitor of insulin-like growth factor 1 receptor and insulin receptor	IGFR signaling		
ML006	S1PR3	agonist of sphingosine 1-phosphate receptor 3	other		
Bax channel blocker	BAX	inhibitor of BAX-mediated mitochondrial cytochrome c release	apoptosis regulation		
ATRA	RARA;RARB;RARG	agonist of retinoid acid receptors	other		
isoliquiritigenin		natural product	other		
NSC23766	RAC1;TIAM1;TRIO	inhibitor of RAC1-GEF interaction; prevents Rac1 activation by Rac-specific guanine nucleotide exchange factors (GEFs) TrioN and Tiam1	cytoskeleton		
N9-isopropylolomoucine	CCNB1;CDK1;CDK5;CDK5R1	inhibitor of CDK1/cyclin B and CDK5/p35 complexes	cell cycle		
pifithrin-alpha		inhibitor of p53-dependent signaling	p53 pathway		
BIX-01294	EHMT2	inhibitor of G9a histone methyltransferase	chromatin  histone methylation		
dexamethasone	NR3C1	agonist of glucocorticoid receptor	other		
AZD6244	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	ERK MAPK signaling		
CHEMBL374350		inhibitor of antigen receptor-mediated NFkappaB activity	other		
CI-976	ACAT1	inhibitor of acetyl-CoA acetyltransferase I	metabolism		
necrostatin-1	RIPK1	inhibitor of receptor-interacting protein kinase 1; inhibitor of the necroptosis cell death pathway	other		
AA-COCF3	FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D	inhibitor of cytosolic phospholipase A2; inhibitor of fatty acid amide hydrolase	metabolism		
TG-101348	JAK2	inhibitor of Janus kinase 2	RTK signaling		
pluripotin	MAPK1;RASAL1	promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK	RTK signaling		
BMS-536924	IGF1R;INSR	inhibitor of insulin-like growth factor 1 receptor (IGF1R) and insulin receptor (INSR)	IGFR signaling		
BRD-K09587429		product of diversity oriented synthesis	other		
tandutinib	FLT3;KIT	inhibitor of c-KIT and VEGFR3	RTK signaling		
TG-100-115	PIK3CD;PIK3CG	inhibitor of PI3K catalytic subunits delta and gamma	PI3K signaling		
Crizotinib	ALK;MET	inhibitor of c-MET and ALK	RTK signaling		
lapatinib	EGFR;ERBB2	inhibitor of EGFR and HER2	EGFR signaling		
carboplatin:UNC0638 (2:1 mol/mol)	EHMT1;EHMT2	inducer of DNA damage;inhibitor of EHMT2 and GLP methyltransferase	DNA replication:chromatin  histone methylation		
selumetinib:JQ-1 (4:1 mol/mol)	MAP2K1;MAP2K2;BRDT	inhibitor of MEK1 and MEK2;inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins	ERK MAPK signaling:chromatin other		
decitabine:carboplatin (1:1 mol/mol)	DNMT1	inhibitor of DNA methyltransferase;inducer of DNA damage	chromatin  histone methylation:DNA repiication		
JQ-1:navitoclax (2:1 mol/mol)	BRDT;BCL2;BCL2L1;BCL2L2	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of BCL2 BCL-xL and BCL-W	chromatin other:apoptosis regulation		
elocalcitol	VDR	agonist of vitamin D receptor	other		
cabozantinib	FLT3;KDR;MET;RET	inhibitor of c-MET  VEGFR2/3 and RET	RTK signaling		
phloretin	SLC5A1	natural product; inhibitor of glucose uptake	other		
BRD-K26531177		analog of the natural product piperlongumine	other		
BMS-345541	IKBKB	inhibitor of IKK-2	other		
"2H-1,3,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-, 2-oxide"		DNA alkylator	DNA replication		
niclosamide	STAT3	inhibitor of STAT3 signaling	apoptosis regulation		
Gefitinib	AKT1;EGFR	inhibitor of EGFR and AKT1	EGFR signaling		
Vorinostat	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1 HDAC2 HDAC3 HDAC6  and HDAC8	chromain  histone acetylation		
AM-580	RARA	agonist of retinoic acid receptor alpha	other		
Mdivi-1	DNM1	inhibitor of dynamin 1; inhibitor of mitrochondrial division inhibitor	other		
Axitinib	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	inhibitor of VEGFRs  c-KIT  and PDGFR alpha and beta	RTK signaling		
ABT-263	BCL2;BCL2L1;BCL2L2	inhibitor of BCL2  BCL-xL and BCL-W	apoptosis regulation	 	
Ki8751	KDR;KIT;PDGFRA	inhibitor of VEGFR2  c-KIT  and PDGFRA	RTK signaling		
Oxaliplatin		DNA alkylator; organoplatinum reagent	DNA replication		
tosedostat	ANPEP;LAP3;NPEPPS	inhibitor of leucine aminopeptidase 3 (LAP) puromycin-sensitive aminopeptidase (PuSA)  and aminopeptidase N		other	
barasertib	AURKB	inhibitor of aurora kinase B	mitosis		
YL54		stapled helical peptide	other		
PF-184	IKBKB	inhibitor of IKK-2	other		
AT7867	AKT1;AKT2;AKT3;RPS6KB2	inhibitor of AKT1/2/3 and S6K	PI3K signaling		
PD 153035	EGFR	inhibitor of EGFR	EGFR signaling		
tacedinaline	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1 HDAC2  HDAC3 HDAC6  and HDAC8	chromain  histone acetylation		 
NVP-BEZ235	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K and mTOR kinase activity	PI3K signaling		
"O~3~-[(2R)-2,6-Dihydroxy-2-(2-methoxy-2-oxoethyl)-6-methylheptanoyl]cephalotaxine"		inhibitor of protein translation by preventing protein elongation	other		
avrainvillamide	NPM1	natural product; inhibitor of nucleophosmin	other		
BRD-K09344309		screening hit	other		
isonicotinohydroxamic acid	HDAC6	inhibitor of HDAC6	chromain  histone acetylation		
"1H-Pyrrole-2,5-dione, 1-[(1-oxopropoxy)methyl]-"	WRN	inhibitor of Werner syndrome helicase activity	Genome integrity		
LRRK2-IN-1	DCLK1;LRRK2	inhibitor of leucine-rich repeat kinase 2; inhibitor of doublecortin-like kinase	other		
KH-CB19	CLK1;CLK4	inhibitor of CDC2-like kinases 1 and 4	other		
"(3beta)-17-(3-Pyridinyl)androsta-5,16-dien-3-ol"	CYP17A1	inhibitor of 17 alpha-hydroxylase and C17 20 lyase	metabolism		
KPT185	XPO1	inhibitor of exportin 1	other		
pitstop2	CLTA;CLTB;CLTC;CLTCL1	inhibitor of clathrin and clathrin-independent endocytosis	other		
R428	AXL	inhibitor of the tyrosine-protein kinase receptor UFO	RTK signaling		
ibrutinib	BTK	inhibitor of Bruton's tyrosine kinase	RTK signaling		
sotrastaurin	PRKCB	inhibitor of protein kinase C beta	other		
A-804598	P2RX7	inhibitor of purinergic receptor P2X	other		
COL-3		analog of tetracycline	other		
ABT-199	BCL2	inhibitor of BCL2	apoptosis regulation		
ETP-46464	ATM;ATR	inhibitor of serine/threonine-protein kinase ATR	Genome integrity		
marinopyrrole A	MCL1	natural product; putative inhibitor of MCL1	other		
methylstat	KDM3A;KDM4A;KDM4B;KDM4C;KDM4D	inhibitor of lysine specific demethylases	chromatin  histone methylation		
BYL-719	PIK3CA	inhibitor of PI3K catalytic subunit alpha	PI3K signaling		
GSK2636771	PIK3CB	inhibitor of PI3K catalytic subunit beta	PI3K signaling		
JW-74		inhibitor of WNT signaling	WNT signaling		
necrosulfonamide		inhibitor of downstream signaling of RIP3 associated with MLKL	other		
HBX-41108	USP7	inhibitor of the deubiquitinase activity of USP7	other		
palmostatin B	LYPLA1	inhibitor of acyl-protein thioesterase 1	metabolism		
JW-55	TNKS	inhibitor of tankyrase	other		
AT-406	XIAP	SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)	apoptosis regulation		
salermide	SIRT1;SIRT2	inhibitor of sirtuin 1 and sirtuin 2	other		
WZ4002	EGFR	inhibitor of EGFR targeting T790M resistance	EGFR signaling		
ML334 diastereomer	KEAP1;NFE2L2	inhibitor of KEAP1-NFE2L2 protein-protein interaction	other		
GSK1059615	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K and mTOR kinase activity	PI3K signaling		
BRD-K55473186	NOTCH1	stapled helical peptide targeting NOTCH1	other		
VAF-347	AHR	inhibitor of aryl hydrocarbon receptor	other		
BRD-M00053801	BCL2	inhibitor of BCL2	apoptosis regulation		
thalidomide	CRBN	immunomodulatory drug; binder of cereblon	other		
MG-132	PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of the proteosome	other		
"2-Propenamide, N-hydroxy-3-[3-[(phenylamino)sulfonyl]phenyl]-, (2E)-"	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1 HDAC2  HDAC3 HDAC6  and HDAC8	chromain  histone acetylation		 
"9H-Purin-2-amine, 6-(phenylmethoxy)-"	MGMT	inhibitor of O(6)-alkylguanine DNA alkyltransferases	RTK signaling		
BRD-K90370028		screening hit	other		
cediranib	FLT1;FLT4;KDR	inhibitor of VEGFRs	RTK signaling		
BRD-K48477130		screening hit	other		
AZD1480	JAK1;JAK2	inhibitor of Janus kinases 1 and 2	RTK signaling		
BRD-A05715709	IDH1	putative inhibitor of IDH1 R132H	other		
Docetaxel		inhibitor of microtubule assembly	cytoskeleton		
BRD-K99006945		screening hit	other		
tivantinib	MET	inhibitor of MET; inhibitor of microtubule assembly	RTK signaling		
GSK1120212	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	ERK MAPK signaling		
RO4929097	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	other		
dinaciclib	CDK1;CDK2;CDK5;CDK9	inhibitor of cyclin-dependent kinases	cell cycle		
MLN2480	ARAF;BRAF;RAF1	inhibitor of RAF kinases	ERK MAPK signaling		
BRD-K51831558	EZH2	inhibitor of enhancer of zeste polycomb repressive complex 2 subunit	other		
istradefylline	ADORA2A	antagonist of the adenosine A2A receptor	other		
MI-2	MEN1	binder of menin; inhibitor of menin-MLL fusion protein	other		
BRD-K42260513	EZH2	inhibitor of enhancer of zeste polycomb repressive complex 2 subunit	other		
alvocidib	CDK1;CDK2;CDK4;CDK6	inhibitor of cyclin-dependent kinases	cell cycle		
CBB-1007	KDM1A	inhibitor of lysine-specific demethylase 1A (LSD1)	chromatin  histone methylation		
BRD-A86708339		screening hit	other		
PF-3758309	PAK4	inhibitor of serine/threonine p21-activating kinase 4	cytoskeleton		
dabrafenib	BRAF	inhibitor of BRAF	ERK MAPK signaling		
SZ4TA2	BCL2L1	inhibitor of BCL-xL	apoptosis regulation		
AT13387	HSP90AA1	inhibitor of HSP90	other		
BCL-LZH-4		inhibitor of BCL2  BCL-xL  and MCL1	apoptosis regulation		
skepinone-L	MAPK14	inhibitor of p38 MAPK	JNK and p38 signaling		
PF-4800567 hydrochloride	CSNK1D;CSNK1E	inhibitor of casein kinase isoforms delta and epsilon	other		
avicin D		natural product	other		
VX-680	AURKA;AURKB;AURKC	inhibitor of aurora kinases	mitosis		
BRD-K33514849		screening hit	other		
BRD-K01737880		screening hit	other		
bafilomycin A1	ATP6V0A1	inhibitor of the vacuolar-type H+-ATPase	other		
SR8278	NR1D1	antagonist of Rev-ErbAalpha	other		
GSK-J4	KDM6A;KDM6B	inhibitor of lysine-specific demethylases	chromatin  histone methylation		
BRD9876:MK-1775 (4:1 mol/mol)	WEE1	screening hit;inhibitor of WEE1	other:cell cycle		
BRD-K30748066	CDK9	inhibitor of CDK9	cell cycle		
